address,contract/public account,sus,note
0x76dd65529dc6c073c1e0af2a5ecc78434bdbf7d9,y,,
0xe50ddf54c958a63ec1f2ab4fd48c899de7bfaa0b,,y,"high-frequency in on polygon, mainly from 0x298f28fCbf87F39926c47A78A49BE42E1A826Eeb, which likely is a op-wallet"
0x9008d19f58aabd9ed0d60971565aa8510560ab41,y,,
0x9a98e6b60784634ae273f2fb84519c7f1885aed2,y,,moca staking
0xdc066677b5ee2c577132b69ac13da6cf8a50c1c7,y,,
0x6539974e820ab26ecaf2187a184a77b03cda3157,y,,
0x74de5d4fcbf63e00296fd95d33236b9794016631,y,,
0x0b07188b12e3bba6a680e553e23c4079e98a034b,y,,
0x74de5d4fcbf63e00296fd95d33236b9794016631,y,,
0x0b07188b12e3bba6a680e553e23c4079e98a034b,y,,
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,y,,
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,y,,
0x0b07188b12e3bba6a680e553e23c4079e98a034b,y,,
0xf89d7b9c864f589bbf53a82105107622b35eaa40,y,,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,y,,
0x96a95810c7d28245f64d6e065584500328897531,y,,
0x4ee36a2c0dd6412a15ef17879d8005f52502cd7f,,y,moca only
0x55877bd7f2ee37bde55ca4b271a3631f3a7ef121,y,,
0xa0a30cb62b810ee0edf2999d137efad186297b2f,y,,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,y,,
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,y,,
0xe8858a95b02c94045e789daf1ce1184ded03ac06,y,,
0x8075b70fe72523c509e85c308313e42f8f1bfe1c,y,,
0xe046db6a33aee1306905b487424c27dd2dcac7a8,y,,
0xdc81045cd56ed4e8a1cc3663798fda7a64b04bc9,,y,high frequency out on polygon
0xacb7a7f62b9868e548b54aa1ced3bfbb2ee07641,,y,high frequency transfer
0x264bd8291fae1d75db2c5f573b07faa6715997b5,y,,
0x5e809a85aa182a9921edd10a4163745bb3e36284,y,,
0x4d6eb465a7d08764cfa8e33eaa1cb44db62a7978,,y,daily out to a fixed wallet 
0x995a014a6d43ad9f49ddde79803936cd1111ab8d,,y,daily out to multiple parties
0x754f86f59fcea9793b580b9331aeafc952ce3ef7,,y,daily out to fixed wallets
0xfb4c0ea3d62ddc3e44d7638be9bf204f8c9e7df7,,y,high frequency out on polygon
0xbf5e3c7afbe37d13b040adb11d497bdbe061c87b,,y,high frequency out on polygon
0x70e967acfcc17c3941e87562161406d41676fd83,,y,high frequency out on polygon
0x9642b23ed1e01df1092b92641051881a322f5d4e,,y,high frequency out on polygon
0xe37e799d5077682fa0a244d46e5649f71457bd09,y,,
0x135c653984c9e098cbe46529945733de6643f5f3,,y,high frequency out on polygon
0x66d610c885d0f15ec66ce550b494376e82e08161,,y,high frequency out on polygon
v0x407539c3ea63f38bb3c590fdcc7f802940f71fad,,y,high frequency out on polygon
0xb0273b53ab86e0e5f7b49650e2efb04424d18a10,,y,out only on polygon
0x8b6b776987e733df682ee8caf379b1f0d51083c9,,y,out only on polygon
0x2830550aa58843bb0294285ff5c041582f71c1ff,,y,out only on polygon
0xa526075b494153850cf728aacc2b631b460af92b,,y,out only on polygon
0x0a4df8c84d4fdd16a3e805a36bc4c0cce6d6a4fe,,y,out only on polygon
0x16e462295af8d6cb9b7d393b3cac2af2c966e0e0,,y,high frequency usdt
0x935d2e470284fb536227a76a723f96a94efae6a9,,y,high frequency transaction
0x6a04ddf3de778de8d9fc64fcf6fb826b03570738,,y,high frequency transaction
0x462351c935df52945393c4ddf36963e9a9714c6e,,y,high frequency transaction
0xcf7105fde573695d62666aefa4e1691bf3ab50d5,y,,
0x4c5fdee62c192630ff67f39f42f56c55fd670069,,y,high frequency transaction
